run_id,seed,gait_id,gait_name,vx_cmd,vy_cmd,wz_cmd,survived,survival_steps,survival_time_s,termination_reason,mean_vx_actual,mean_vy_actual,mean_wz_actual,mean_vx_error,mean_vy_error,mean_wz_error,mean_height,std_height,mean_roll,mean_pitch,mean_contact_frac,mean_contact_acc,mean_torque_norm,xy_drift_m,wall_time_s
21,3,5,limp,0.8999999761581421,-0.4000000059604645,-0.5,True,1000,10.0,timeout,0.7234003701806069,-0.08549448513839808,-0.30067647194231134,0.18443935549921459,0.3145055208220664,0.20350965179968625,0.33601963695698545,0.019641407163547522,0.07774280515628006,0.04800633549459162,0.5122222222222222,0.9161111111111111,25.182825246387058,4.750714023846265,0.888
22,0,7,run,0.0,0.4000000059604645,0.0,True,1000,10.0,timeout,0.2707581796579891,-0.011510807520165449,0.016303952247318294,0.2707581796579891,0.4115108134806299,0.09429162374930457,0.3405305794410289,0.004294617332557139,0.030282300596040233,0.06987710133407148,0.3844444444444444,0.8322222222222222,21.36493840270572,2.705340840627075,0.848
23,1,0,bound,0.6000000238418579,-0.20000000298023224,0.25,True,1000,10.0,timeout,0.4740345620552802,-0.07764841737474651,0.12413773998737775,0.20872648801007826,0.12235158560548573,0.14393557463963386,0.3432692363682243,0.017755218205237466,0.012944369090287787,0.05500930524664044,0.4419444444444444,0.8786111111111111,26.619557009802925,4.405531985470247,0.864
24,4,0,bound,0.8999999761581421,-0.4000000059604645,0.0,True,1000,10.0,timeout,0.6262038189586666,-0.1062897229836219,-0.050541092191948946,0.2947883746607436,0.2937102829768426,0.106087941716299,0.3432004133284025,0.021131702504267314,0.01797690469415606,0.054812167590262945,0.42916666666666664,0.8852777777777778,27.289782279862298,6.1612831905581205,0.865
25,2,3,amble,0.8999999761581421,-0.20000000298023224,-0.25,True,1000,10.0,timeout,0.6722804536422093,-0.0446419423049277,-0.14283761813643245,0.22771952251593272,0.15535806067530453,0.11912315380835531,0.3279696954373008,0.0041921180062794204,0.012829525130604027,0.10138581951384792,0.6155555555555555,0.9544444444444444,21.2262903436025,6.1492179580783946,0.9
26,3,7,run,0.8999999761581421,0.0,0.0,True,1000,10.0,timeout,0.722210484345754,-0.031049917737303378,-0.005886788379090528,0.1777894918123881,0.03114140716986084,0.07720236380688018,0.3352277105359493,0.005593670480793111,0.05577810759745451,0.06359441981257766,0.3819444444444444,0.8880555555555556,22.670660089386836,7.117873326517097,0.86
27,1,1,trot,0.6000000238418579,-0.4000000059604645,-0.5,True,1000,10.0,timeout,0.4667621805932787,-0.07631292369630602,-0.36701759280429946,0.13323784324857924,0.3236870822641585,0.15351741146710185,0.3406767532627249,0.0043490406365754,0.059616080222461565,0.03617329567395138,0.49916666666666665,0.9452777777777778,22.281756555769178,2.5272757207688064,0.877
28,0,2,hop,0.0,-0.4000000059604645,-0.25,True,1000,10.0,timeout,0.1858987919022055,-0.029463359895016764,-0.13461621937434434,0.1858987919022055,0.37053664606544773,0.1288959693828228,0.3108546177931913,0.020481486660655475,0.029574911943696682,0.11566175708994174,0.48264705882352943,0.893235294117647,24.676884314593146,1.774804977446216,0.881
29,3,4,pronk,0.6000000238418579,-0.20000000298023224,0.5,True,1000,10.0,timeout,0.638321369253099,-0.06361125406776409,0.46188061255961654,0.1244989550486207,0.13638874891246813,0.07005905400961637,0.3107424196244191,0.06006939459303398,0.0279525458864775,0.19131966430128367,0.518125,0.946875,19.563613847792148,2.056127536433329,0.877
30,0,5,limp,0.8999999761581421,0.0,-0.25,True,1000,10.0,timeout,0.7334941441482968,-0.05946534074519554,-0.11907727198665574,0.1784228573905097,0.060015398275184755,0.15620559516682989,0.33227411181612915,0.019138286643328166,0.0755272021158561,0.07030334345545648,0.5063888888888889,0.9197222222222222,25.96676374223497,6.714847515505469,0.886
